,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
0,0,0,0,3180602.69,1,0.999812,13380276.64,,,0.999812,60651.5,1.000026,8493.03,1.0,-3.029704,0,0_0_0
1,1,0,0,166603.91,-1,0.999896,1642214.25,,,0.999896,3233.04,1.00066,20605.09,1.0,-5.519986,0,0_0_1
2,2,0,0,302879.87,-1,0.999561,1819368.03,,,0.999403,37956.0,1.000298,18995.0,1.0,-8.38995,0,0_0_2
3,3,0,0,11917682.27,-1,1.000171,18389745.62,,,0.999999,2324.9,1.000214,479032.4,1.0,-4.0102005,0,0_0_3
4,4,0,0,447549.96,-1,0.999532,17860614.95,,,0.999394,16485.54,1.000016,434.1,1.0,-7.3498487,0,0_0_4
5,5,0,0,0.0,0,1.000635,13552875.92,,,0.999779,1962.72,1.000635,5647.65,1.0,6.7794323,0,0_0_5
6,6,0,0,969969.4,1,1.000115,3647503.98,,,0.999506,6663.16,1.000283,3810.48,1.0,-2.4998188,0,0_0_6
7,7,0,0,9412959.1,1,0.999818,21261245.87,,,0.999741,5139.2,1.00013,2570.6,1.0,-1.9598007,0,0_0_7
8,8,0,0,2394875.85,1,0.999916,9473209.08,,,0.999022,52011.6,1.000041,2169.36,1.0,-5.970001,0,0_0_8
9,9,0,0,3039700.65,-1,1.000969,6248958.45,,,0.999354,6191.0,1.000646,6199.0,1.0,7.970333,0,0_0_9
10,10,0,0,10482752.19,-1,1.001374,8839457.1,,,0.999885,18802.0,1.001321,217098.37,1.0,5.350113,0,0_0_10
11,11,0,0,1506120.2,-1,0.999968,2001112.44,,,0.99984,1174.45,1.000351,2585.11,1.0,2.5594234,0,0_0_11
12,12,0,0,11739945.44,1,0.999794,13597118.7,,,0.999794,33221.0,1.000296,47824.0,1.0,8.399487,0,0_0_12
13,13,0,0,5749286.01,1,0.998995,7039173.61,,,0.999074,12327.73,1.000096,1272.2,1.0,-10.750294,0,0_0_13
14,14,0,0,8899495.49,1,1.000495,39020484.94,,,0.999976,4321.24,1.001013,185388.0,1.0,2.3198128,0,0_0_14
15,15,0,0,4469771.0,1,0.999403,1765835.46,,,0.999334,223339.68,1.000023,7551.44,1.0,1.72019,0,0_0_15
16,16,0,0,472499.39,-1,0.999258,3438806.6,,,0.998948,9879.12,1.000058,549.45,1.0,-8.170009,0,0_0_16
17,17,0,0,12411362.37,-1,1.000966,27288881.25,,,0.999028,12438.0,1.000648,8305.44,1.0,-3.5899878,0,0_0_17
18,18,0,0,516904.04,-1,1.000029,1263451.92,,,0.999847,4271.28,1.000212,5916.24,1.0,-11.439919,0,0_0_18
19,19,0,0,0.0,0,0.999387,2815450.75,,,0.999218,17775.0,1.001298,29567.92,1.0,4.299879,0,0_0_19
20,20,0,0,3301736.03,1,1.000037,2316706.33,,,0.999473,14141.4,1.001254,33730.0,1.0,-4.1800737,0,0_0_20
21,21,0,0,1015153.67,-1,1.000034,1339488.1,,,0.999645,23956.33,1.000034,2311.8,1.0,-11.540055,0,0_0_21
22,22,0,0,5053387.79,1,0.999537,6722747.7,,,0.999767,9467.74,1.000458,18644.34,1.0,8.95977,0,0_0_22
23,23,0,0,732870.72,-1,0.999979,23625226.24,,,0.999979,1868.1,1.000247,22423.2,1.0,2.4402142,0,0_0_23
24,24,0,0,1757293.62,1,0.999866,2669401.39,,,0.99995,5932.5,1.000119,14240.4,1.0,4.489422,0,0_0_24
25,25,0,0,655527.4,1,0.999932,8183205.06,,,0.999853,8227.7,1.000011,633.0,1.0,-2.5600195,0,0_0_25
26,26,0,0,191988.96,-1,0.999583,4406159.91,,,0.999583,356181.55,1.000295,252081.74,1.0,-0.34987926,0,0_0_26
27,27,0,0,1582623.65,-1,1.00007,8129857.98,,,0.999395,16736.19,1.000278,7701.6,1.0,-0.06020069,0,0_0_27
28,28,0,0,2840407.94,-1,1.000358,2014815.32,,,0.999838,12770.38,1.000488,38490.0,1.0,-1.6897917,0,0_0_28
29,29,0,0,19144428.86,1,1.000301,8139187.12,,,0.999951,2399.76,1.002501,122098.41,1.0,4.6396255,0,0_0_29
30,30,0,0,1064576.77,1,0.999934,2659284.99,,,0.999934,14181.6,1.000272,58400.68,1.0,4.4095516,0,0_0_30
31,31,0,0,744025.17,-1,1.000327,936927.24,,,0.999436,56313.18,1.000327,32645.61,1.0,-1.3899803,0,0_0_31
32,32,0,0,3099124.75,1,0.999776,3974331.25,,,0.999776,26068.25,1.000275,32100.0,1.0,7.8105927,0,0_0_32
33,33,0,0,1558261.66,-1,1.000327,2303779.69,,,0.999307,26871.6,1.000255,9880.56,1.0,4.4202805,0,0_0_33
34,34,0,0,13825395.53,1,0.999021,8186506.67,,,0.999055,172791.0,1.000009,1729.56,1.0,-7.7599287,0,0_0_34
35,35,0,0,0.0,0,0.999841,6301295.3,,,0.999676,59482.8,1.000007,1209.4,1.0,0.18954277,0,0_0_35
36,36,0,0,1255662.11,1,0.999922,3284358.5,,,0.999821,9876.0,1.000023,1284.14,1.0,3.540516,0,0_0_36
37,37,0,0,0.0,0,1.000149,11085475.86,,,0.99991,19682.66,1.00034,74365.4,1.0,-0.4297495,0,0_0_37
38,38,0,0,8940183.86,-1,1.000334,10108466.29,,,0.999849,26330.26,1.000455,79368.99,1.0,7.829666,0,0_0_38
39,39,0,0,0.0,0,0.999539,5760193.65,,,0.999539,57147.72,1.000078,9724.25,1.0,-4.6998262,0,0_0_39
40,40,0,0,3338208.46,1,0.99908,2860543.58,,,0.999196,12955.5,1.000005,86.44,1.0,-1.3798475,0,0_0_40
41,41,0,0,12135166.06,-1,1.000148,79556868.1,,,0.999945,4725.12,1.000504,43534.79,1.0,4.9602985,0,0_0_41
42,42,0,0,0.0,0,1.000033,2126585.21,,,0.997965,13766.48,1.000033,222.5,1.0,-10.669827,0,0_0_42
43,43,0,0,721591.26,1,0.999761,1639964.25,,,0.999589,34938.0,1.000047,4019.71,1.0,-3.3402443,0,0_0_43
44,44,0,0,2283895.64,-1,1.000379,8567940.87,,,0.999954,1480.92,1.000805,25832.28,1.0,3.1399727,0,0_0_44
45,45,0,0,38373005.07,1,0.999857,307399082.51,,,0.999928,112796.64,1.000033,51276.6,1.0,-1.4400482,0,0_0_45
46,46,0,0,0.0,0,1.002515,2493080.33,,,0.999927,483.12,1.003487,23272.32,1.0,17.149448,0,0_0_46
47,47,0,0,556838.77,-1,0.99817,1720720.07,,,0.998061,51574.74,1.000345,9198.0,1.0,10.19001,0,0_0_47
48,48,0,0,1226107.26,1,0.999986,4812844.8,,,0.999644,54884.25,1.0002,30845.76,1.0,-7.7599287,0,0_0_48
49,49,0,0,730224.28,-1,1.000226,6666697.23,,,0.999949,23884.96,1.000226,105960.24,1.0,9.260178,0,0_0_49
50,50,0,0,6414367.32,-1,1.000711,4344314.26,,,0.998856,16150.0,1.001144,16187.0,1.0,4.26054,0,0_0_50
51,51,0,0,0.0,0,0.999951,8686308.4,,,0.999951,9681.85,1.00064,126372.0,1.0,6.710291,0,0_0_51
52,52,0,0,1589228.95,-1,1.000204,7052889.31,,,0.999701,12162.48,1.00012,4890.89,1.0,1.0001659,0,0_0_52
53,53,0,0,8426805.55,1,0.999483,12799304.33,,,0.999921,13720.0,1.000067,11526.48,1.0,-6.3198805,0,0_0_53
54,54,0,0,9572278.01,-1,1.00017,8259044.06,,,0.999439,40181.4,1.0001,7180.0,1.0,-3.669858,0,0_0_54
55,55,0,0,2018101.96,-1,0.999816,3915337.85,,,0.999999,164.22,1.000182,25294.5,1.0,-1.2099743,0,0_0_55
56,56,0,0,2088948.39,1,1.000442,5224540.88,,,0.999912,1698.03,1.000972,18887.0,1.0,10.479689,0,0_0_56
57,57,0,0,3621361.02,1,1.000153,9808614.41,,,0.999976,3385.0,1.00036,50117.24,1.0,6.8295,0,0_0_57
58,58,0,0,7666106.56,-1,0.999981,15129795.52,,,0.999582,52554.0,1.000418,52598.0,1.0,-1.2797117,0,0_0_58
59,59,0,0,848718.82,-1,0.99986,4619456.85,,,0.999767,10715.0,1.000233,10720.0,1.0,-3.6001205,0,0_0_59
60,60,0,0,0.0,0,0.999564,5336912.07,,,0.999643,6331.0,1.000314,5575.02,1.0,-1.1098385,0,0_0_60
61,61,0,0,315065.35,-1,0.999619,4611385.55,,,0.999797,7570.8,1.000153,5722.2,1.0,3.130436,0,0_0_61
62,62,0,0,1399586.94,-1,1.000282,2867343.63,,,0.999879,1487.16,1.000807,9923.6,1.0,13.799667,0,0_0_62
63,63,0,0,81977.51,-1,0.999911,2646250.39,,,0.999715,14900.76,1.000107,5615.5,1.0,2.0301342,0,0_0_63
64,64,0,0,3903664.66,1,0.999097,7421189.27,,,0.999118,62380.5,1.000034,2401.45,1.0,-22.730232,0,0_0_64
